	France_MannequinOsier_0	France_MannequinOsier_1	France_MannequinOsier_2	France_MannequinOsier_3	France_MannequinOsier_4	France_MannequinOsier_5	France_MannequinOsier_6	France_MannequinOsier_7	France_MannequinOsier_8	France_MannequinOsier_9	France_MannequinOsier_10	France_MannequinOsier_11	France_MannequinOsier_12	France_MannequinOsier_13	France_MannequinOsier_14	France_MannequinOsier_15	France_MannequinOsier_16	France_MannequinOsier_17	France_MannequinOsier_18	France_MannequinOsier_19	France_MannequinOsier_20	France_MannequinOsier_21	France_MannequinOsier_22	France_MannequinOsier_23	France_MannequinOsier_24	France_MannequinOsier_25	France_MannequinOsier_26	France_MannequinOsier_27	France_MannequinOsier_28	France_MannequinOsier_29	France_MannequinOsier_30	France_MannequinOsier_31	France_MannequinOsier_32	France_MannequinOsier_33	France_MannequinOsier_34	France_MannequinOsier_35	France_MannequinOsier_36	France_MannequinOsier_37	France_MannequinOsier_38	France_MannequinOsier_39	France_MannequinOsier_40	France_MannequinOsier_41	France_MannequinOsier_42	France_MannequinOsier_43	France_MannequinOsier_44	France_MannequinOsier_45	France_MannequinOsier_46	France_MannequinOsier_47	France_MannequinOsier_48	France_MannequinOsier_49	France_MannequinOsier_50	France_MannequinOsier_51	France_MannequinOsier_52	France_MannequinOsier_53	France_MannequinOsier_54	France_MannequinOsier_55	France_MannequinOsier_56	France_MannequinOsier_57	France_MannequinOsier_58	France_MannequinOsier_59	France_MannequinOsier_60	France_MannequinOsier_61	France_MannequinOsier_62	France_MannequinOsier_63	France_MannequinOsier_64	France_MannequinOsier_sum
m_NOM_m	5.0	6.0	0.0	4.0	4.0	2.0	1.0	0.0	5.0	3.0	3.0	3.0	1.0	7.0	2.0	4.0	7.0	3.0	4.0	4.0	1.0	1.0	3.0	1.0	6.0	7.0	7.0	11.0	12.0	1.0	3.0	5.0	1.0	1.0	2.0	1.0	3.0	3.0	1.0	0.0	3.0	5.0	9.0	2.0	4.0	0.0	10.0	1.0	4.0	1.0	7.0	0.0	5.0	4.0	5.0	4.0	2.0	3.0	1.0	1.0	1.0	5.0	4.0	3.0	0.0	222.0
bergeret_NAM_bergeret	4.0	6.0	4.0	5.0	6.0	1.0	1.0	1.0	5.0	0.0	1.0	6.0	1.0	5.0	3.0	4.0	3.0	3.0	4.0	6.0	5.0	1.0	4.0	8.0	7.0	9.0	4.0	0.0	1.0	7.0	8.0	6.0	0.0	0.0	0.0	1.0	5.0	1.0	1.0	1.0	3.0	5.0	4.0	1.0	2.0	0.0	3.0	1.0	0.0	0.0	1.0	1.0	8.0	7.0	2.0	5.0	9.0	6.0	0.0	0.0	5.0	5.0	7.0	4.0	4.0	221.0
avec_PRP_avec	1.0	1.0	0.0	7.0	4.0	2.0	3.0	4.0	5.0	2.0	1.0	4.0	7.0	5.0	4.0	3.0	2.0	1.0	5.0	2.0	2.0	2.0	1.0	3.0	4.0	4.0	3.0	5.0	1.0	1.0	3.0	3.0	10.0	4.0	8.0	0.0	5.0	7.0	5.0	5.0	2.0	1.0	3.0	4.0	5.0	0.0	1.0	4.0	4.0	3.0	7.0	2.0	3.0	2.0	2.0	6.0	4.0	4.0	2.0	2.0	6.0	4.0	1.0	2.0	1.0	214.0
on_PRO:PER_on	4.0	2.0	6.0	5.0	1.0	3.0	2.0	7.0	2.0	1.0	1.0	2.0	5.0	3.0	5.0	1.0	3.0	3.0	4.0	3.0	0.0	1.0	1.0	1.0	8.0	2.0	3.0	3.0	2.0	2.0	2.0	4.0	0.0	12.0	4.0	6.0	6.0	4.0	10.0	7.0	3.0	1.0	4.0	3.0	5.0	5.0	3.0	7.0	5.0	4.0	0.0	2.0	2.0	5.0	0.0	3.0	0.0	4.0	2.0	3.0	2.0	3.0	2.0	5.0	0.0	214.0
ses_DET:POS_son	8.0	0.0	3.0	1.0	2.0	6.0	1.0	4.0	3.0	6.0	1.0	5.0	2.0	2.0	1.0	4.0	0.0	3.0	4.0	9.0	3.0	1.0	9.0	3.0	0.0	1.0	4.0	2.0	4.0	2.0	5.0	0.0	3.0	0.0	5.0	2.0	0.0	1.0	2.0	0.0	3.0	6.0	5.0	4.0	2.0	4.0	1.0	3.0	4.0	6.0	2.0	3.0	4.0	2.0	7.0	6.0	4.0	0.0	1.0	0.0	7.0	5.0	6.0	10.0	0.0	207.0
c'_PRO:DEM_ce	3.0	6.0	1.0	6.0	3.0	2.0	6.0	1.0	4.0	2.0	1.0	6.0	8.0	2.0	5.0	2.0	3.0	2.0	3.0	4.0	3.0	1.0	1.0	1.0	7.0	1.0	2.0	4.0	1.0	0.0	2.0	2.0	1.0	6.0	6.0	5.0	3.0	5.0	2.0	9.0	1.0	1.0	6.0	2.0	3.0	5.0	1.0	1.0	2.0	8.0	3.0	5.0	1.0	1.0	2.0	4.0	3.0	5.0	2.0	0.0	2.0	4.0	1.0	0.0	1.0	196.0
a_VER:pres_avoir	1.0	4.0	3.0	5.0	1.0	3.0	3.0	3.0	0.0	0.0	0.0	3.0	4.0	4.0	2.0	2.0	1.0	4.0	0.0	1.0	0.0	4.0	0.0	1.0	7.0	4.0	2.0	3.0	3.0	0.0	1.0	0.0	0.0	7.0	1.0	7.0	3.0	6.0	9.0	2.0	0.0	5.0	1.0	3.0	8.0	2.0	0.0	3.0	1.0	7.0	8.0	2.0	0.0	4.0	1.0	3.0	3.0	4.0	2.0	6.0	2.0	6.0	1.0	0.0	0.0	176.0
cette_PRO:DEM_ce	4.0	0.0	3.0	0.0	4.0	0.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	4.0	4.0	0.0	5.0	3.0	6.0	7.0	3.0	5.0	9.0	5.0	0.0	1.0	4.0	2.0	4.0	3.0	3.0	1.0	2.0	0.0	1.0	3.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	1.0	6.0	3.0	1.0	5.0	2.0	4.0	3.0	2.0	1.0	3.0	6.0	2.0	5.0	2.0	4.0	5.0	2.0	2.0	2.0	171.0
:_PUN_:	1.0	2.0	1.0	2.0	1.0	2.0	0.0	2.0	7.0	5.0	4.0	4.0	5.0	3.0	3.0	5.0	2.0	4.0	2.0	1.0	1.0	4.0	0.0	2.0	9.0	3.0	1.0	2.0	2.0	0.0	2.0	3.0	0.0	5.0	2.0	1.0	1.0	1.0	0.0	0.0	2.0	4.0	3.0	3.0	2.0	0.0	3.0	2.0	3.0	6.0	6.0	3.0	1.0	6.0	4.0	6.0	4.0	2.0	0.0	2.0	3.0	1.0	1.0	2.0	1.0	165.0
y_PRO:PER_y	4.0	8.0	2.0	5.0	3.0	7.0	2.0	2.0	1.0	2.0	0.0	2.0	3.0	4.0	2.0	0.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0	0.0	4.0	3.0	2.0	2.0	1.0	3.0	4.0	1.0	1.0	3.0	0.0	3.0	4.0	6.0	4.0	2.0	3.0	2.0	5.0	1.0	3.0	3.0	1.0	2.0	5.0	2.0	4.0	0.0	1.0	2.0	1.0	2.0	154.0
en_PRO:PER_en	5.0	0.0	2.0	4.0	1.0	4.0	2.0	0.0	4.0	2.0	0.0	2.0	3.0	3.0	1.0	1.0	4.0	1.0	3.0	5.0	2.0	4.0	4.0	4.0	1.0	3.0	2.0	2.0	0.0	4.0	1.0	3.0	2.0	4.0	2.0	4.0	2.0	2.0	4.0	2.0	0.0	0.0	1.0	2.0	3.0	2.0	2.0	0.0	1.0	3.0	5.0	1.0	1.0	4.0	4.0	2.0	4.0	3.0	4.0	3.0	1.0	2.0	1.0	0.0	1.0	149.0
sans_PRP_sans	1.0	1.0	1.0	3.0	3.0	3.0	1.0	2.0	2.0	2.0	0.0	3.0	4.0	2.0	2.0	0.0	1.0	1.0	1.0	4.0	3.0	2.0	6.0	1.0	2.0	2.0	0.0	1.0	3.0	4.0	2.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	4.0	1.0	6.0	2.0	3.0	3.0	1.0	2.0	2.0	0.0	4.0	6.0	2.0	1.0	6.0	4.0	1.0	3.0	1.0	3.0	5.0	5.0	0.0	140.0
mme_NOM_madame	2.0	3.0	4.0	3.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	2.0	1.0	3.0	4.0	1.0	6.0	1.0	0.0	11.0	3.0	1.0	1.0	3.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	4.0	6.0	6.0	2.0	0.0	11.0	0.0	4.0	5.0	5.0	0.0	0.0	0.0	2.0	0.0	3.0	9.0	3.0	140.0
bergeret_NOM_bergeret	3.0	0.0	2.0	4.0	5.0	3.0	1.0	3.0	1.0	0.0	0.0	0.0	2.0	2.0	5.0	3.0	2.0	3.0	2.0	1.0	1.0	2.0	4.0	3.0	3.0	0.0	4.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	0.0	3.0	2.0	2.0	3.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	1.0	0.0	0.0	5.0	5.0	3.0	2.0	3.0	6.0	0.0	4.0	0.0	0.0	4.0	0.0	1.0	4.0	1.0	131.0
l'_PRO:PER_la|le	1.0	2.0	3.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0	2.0	3.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	4.0	0.0	3.0	3.0	3.0	3.0	0.0	4.0	6.0	1.0	3.0	0.0	4.0	2.0	4.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	5.0	0.0	3.0	2.0	3.0	1.0	4.0	0.0	2.0	3.0	0.0	3.0	1.0	2.0	0.0	5.0	0.0	5.0	2.0	130.0
!_SENT_!	4.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	10.0	4.0	3.0	0.0	1.0	0.0	6.0	1.0	2.0	3.0	0.0	0.0	0.0	5.0	0.0	5.0	3.0	0.0	0.0	4.0	1.0	6.0	2.0	3.0	2.0	13.0	2.0	0.0	1.0	2.0	3.0	1.0	2.0	4.0	0.0	0.0	1.0	3.0	2.0	1.0	7.0	2.0	0.0	1.0	2.0	2.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	130.0
;_PUN_;	0.0	4.0	1.0	1.0	2.0	2.0	5.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	4.0	2.0	2.0	3.0	4.0	2.0	2.0	3.0	0.0	3.0	1.0	1.0	1.0	0.0	10.0	1.0	3.0	1.0	1.0	2.0	0.0	3.0	0.0	1.0	3.0	2.0	0.0	1.0	1.0	3.0	2.0	0.0	4.0	2.0	2.0	5.0	1.0	0.0	2.0	5.0	7.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	129.0
aux_PRP:det_au	1.0	2.0	2.0	0.0	4.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	0.0	0.0	2.0	2.0	3.0	8.0	3.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	1.0	5.0	3.0	4.0	4.0	2.0	1.0	1.0	2.0	2.0	2.0	7.0	3.0	0.0	2.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	4.0	0.0	4.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	3.0	0.0	127.0
dit_VER:pres_dire	2.0	1.0	1.0	6.0	2.0	0.0	1.0	3.0	2.0	0.0	0.0	2.0	4.0	1.0	4.0	6.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	2.0	1.0	0.0	0.0	2.0	2.0	3.0	4.0	9.0	9.0	6.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	2.0	7.0	9.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	3.0	1.0	2.0	0.0	0.0	125.0
?_SENT_?	0.0	0.0	3.0	2.0	2.0	1.0	0.0	1.0	3.0	0.0	2.0	2.0	9.0	2.0	4.0	3.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	4.0	3.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	3.0	2.0	2.0	1.0	1.0	4.0	0.0	4.0	2.0	0.0	1.0	1.0	2.0	8.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	1.0	14.0	2.0	2.0	0.0	1.0	0.0	118.0
comme_KON_comme	0.0	5.0	2.0	3.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	3.0	1.0	1.0	1.0	3.0	6.0	4.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	4.0	1.0	2.0	0.0	1.0	1.0	2.0	5.0	4.0	1.0	5.0	2.0	3.0	3.0	1.0	3.0	0.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	4.0	4.0	0.0	3.0	2.0	2.0	0.0	0.0	115.0
nous_PRO:PER_nous	4.0	0.0	3.0	2.0	2.0	0.0	0.0	1.0	7.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	2.0	0.0	1.0	0.0	2.0	0.0	3.0	2.0	0.0	1.0	5.0	7.0	8.0	6.0	0.0	6.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	114.0
sont_VER:pres_être	1.0	1.0	3.0	1.0	0.0	2.0	3.0	3.0	1.0	1.0	0.0	1.0	0.0	6.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	4.0	0.0	0.0	2.0	2.0	4.0	3.0	2.0	2.0	1.0	3.0	4.0	1.0	3.0	0.0	3.0	1.0	3.0	9.0	6.0	0.0	2.0	0.0	0.0	0.0	107.0
ils_PRO:PER_il	2.0	7.0	2.0	5.0	3.0	4.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	6.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	5.0	1.0	1.0	7.0	2.0	4.0	0.0	2.0	2.0	4.0	0.0	0.0	3.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	4.0	15.0	0.0	0.0	0.0	0.0	0.0	107.0
que_PRO:REL_que	1.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	3.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	4.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	3.0	2.0	2.0	0.0	0.0	2.0	5.0	1.0	8.0	2.0	0.0	4.0	2.0	1.0	2.0	1.0	4.0	2.0	2.0	1.0	1.0	6.0	1.0	0.0	1.0	2.0	6.0	4.0	0.0	2.0	103.0
le_PRO:PER_le	0.0	1.0	2.0	3.0	1.0	2.0	0.0	3.0	2.0	1.0	3.0	0.0	1.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	4.0	1.0	0.0	5.0	1.0	0.0	1.0	0.0	3.0	2.0	5.0	2.0	5.0	1.0	3.0	2.0	1.0	1.0	4.0	0.0	1.0	1.0	2.0	5.0	3.0	0.0	1.0	1.0	0.0	1.0	2.0	3.0	0.0	1.0	0.0	0.0	2.0	1.0	2.0	3.0	2.0	2.0	0.0	2.0	0.0	102.0
ces_PRO:DEM_ce	4.0	2.0	0.0	0.0	1.0	3.0	4.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	2.0	3.0	3.0	0.0	2.0	3.0	0.0	0.0	3.0	1.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	7.0	1.0	1.0	3.0	5.0	2.0	0.0	4.0	0.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	1.0	101.0
j'_PRO:PER_je	1.0	6.0	1.0	3.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	5.0	0.0	7.0	3.0	0.0	1.0	0.0	2.0	0.0	3.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	2.0	6.0	0.0	3.0	3.0	0.0	4.0	1.0	2.0	0.0	2.0	5.0	0.0	1.0	1.0	101.0
«_PUN:cit_«	0.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	0.0	1.0	3.0	0.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	9.0	0.0	3.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	4.0	1.0	3.0	1.0	0.0	0.0	2.0	2.0	2.0	1.0	5.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	2.0	1.0	2.0	0.0	4.0	2.0	1.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0	95.0
bien_ADV_bien	1.0	2.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	3.0	4.0	2.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	4.0	4.0	3.0	1.0	2.0	2.0	1.0	3.0	3.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	3.0	5.0	1.0	1.0	0.0	0.0	90.0
où_PRO:REL_où	5.0	1.0	2.0	1.0	1.0	0.0	3.0	2.0	3.0	1.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	5.0	1.0	1.0	1.0	2.0	3.0	0.0	1.0	2.0	0.0	0.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	4.0	1.0	1.0	1.0	2.0	0.0	0.0	4.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	87.0
point_ADV_point	0.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	3.0	1.0	0.0	1.0	3.0	0.0	3.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	4.0	0.0	1.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0	2.0	3.0	3.0	0.0	3.0	1.0	2.0	0.0	0.0	1.0	2.0	3.0	2.0	5.0	1.0	2.0	4.0	3.0	0.0	86.0
sous_PRP_sous	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	3.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	4.0	1.0	2.0	1.0	0.0	5.0	4.0	1.0	1.0	0.0	0.0	4.0	0.0	0.0	2.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0	0.0	3.0	1.0	2.0	1.0	4.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	85.0
tout_ADV_tout	1.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	4.0	0.0	0.0	1.0	2.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	3.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	3.0	0.0	4.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	82.0
leur_DET:POS_leur	0.0	2.0	3.0	2.0	1.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	5.0	4.0	2.0	0.0	0.0	2.0	3.0	1.0	0.0	1.0	3.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	3.0	0.0	1.0	3.0	7.0	0.0	1.0	0.0	1.0	0.0	78.0
comme_ADV_comme	3.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	0.0	0.0	2.0	4.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	5.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	4.0	1.0	0.0	1.0	1.0	3.0	1.0	1.0	5.0	0.0	0.0	1.0	1.0	0.0	73.0
»_PUN:cit_»	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	0.0	8.0	1.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	5.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	72.0
dont_PRO:REL_dont	2.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	2.0	3.0	1.0	2.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0	2.0	0.0	4.0	0.0	1.0	2.0	1.0	1.0	2.0	3.0	2.0	4.0	0.0	1.0	3.0	0.0	0.0	3.0	2.0	0.0	72.0
ou_KON_ou	1.0	0.0	1.0	2.0	1.0	4.0	1.0	0.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	3.0	4.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	3.0	1.0	0.0	4.0	0.0	4.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	72.0
les_PRO:PER_la|le	2.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	3.0	1.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	3.0	0.0	1.0	2.0	2.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	3.0	2.0	3.0	2.0	0.0	1.0	4.0	6.0	0.0	1.0	1.0	0.0	0.0	71.0
ai_VER:pres_avoir	0.0	8.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	6.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	5.0	1.0	1.0	0.0	3.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	4.0	2.0	2.0	0.0	71.0
la_PRO:PER_la	0.0	0.0	2.0	0.0	0.0	3.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	2.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	5.0	0.0	3.0	1.0	2.0	2.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	70.0
ni_KON_ni	0.0	0.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	4.0	2.0	0.0	0.0	4.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	1.0	0.0	1.0	0.0	4.0	0.0	2.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	3.0	1.0	0.0	67.0
fut_VER:simp_être	4.0	3.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	2.0	1.0	2.0	0.0	2.0	0.0	4.0	0.0	2.0	6.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	66.0
monsieur_NOM_monsieur	0.0	0.0	1.0	2.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	4.0	1.0	0.0	0.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	0.0	2.0	1.0	1.0	5.0	3.0	1.0	0.0	0.0	66.0
deux_NUM_deux	1.0	1.0	0.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	5.0	1.0	2.0	3.0	0.0	0.0	4.0	0.0	1.0	4.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	1.0	4.0	0.0	0.0	2.0	0.0	2.0	0.0	66.0
me_PRO:PER_me	1.0	3.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	3.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	1.0	1.0	3.0	2.0	0.0	1.0	0.0	63.0
-même_ADJ_même	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	1.0	3.0	1.0	0.0	1.0	2.0	3.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	4.0	5.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	62.0
