	France_CrimeSylvestreBonnard_0	France_CrimeSylvestreBonnard_1	France_CrimeSylvestreBonnard_2	France_CrimeSylvestreBonnard_3	France_CrimeSylvestreBonnard_4	France_CrimeSylvestreBonnard_5	France_CrimeSylvestreBonnard_6	France_CrimeSylvestreBonnard_7	France_CrimeSylvestreBonnard_8	France_CrimeSylvestreBonnard_9	France_CrimeSylvestreBonnard_10	France_CrimeSylvestreBonnard_11	France_CrimeSylvestreBonnard_12	France_CrimeSylvestreBonnard_13	France_CrimeSylvestreBonnard_14	France_CrimeSylvestreBonnard_15	France_CrimeSylvestreBonnard_16	France_CrimeSylvestreBonnard_17	France_CrimeSylvestreBonnard_18	France_CrimeSylvestreBonnard_19	France_CrimeSylvestreBonnard_20	France_CrimeSylvestreBonnard_21	France_CrimeSylvestreBonnard_22	France_CrimeSylvestreBonnard_23	France_CrimeSylvestreBonnard_24	France_CrimeSylvestreBonnard_25	France_CrimeSylvestreBonnard_26	France_CrimeSylvestreBonnard_27	France_CrimeSylvestreBonnard_28	France_CrimeSylvestreBonnard_29	France_CrimeSylvestreBonnard_30	France_CrimeSylvestreBonnard_31	France_CrimeSylvestreBonnard_32	France_CrimeSylvestreBonnard_33	France_CrimeSylvestreBonnard_34	France_CrimeSylvestreBonnard_35	France_CrimeSylvestreBonnard_36	France_CrimeSylvestreBonnard_37	France_CrimeSylvestreBonnard_38	France_CrimeSylvestreBonnard_39	France_CrimeSylvestreBonnard_40	France_CrimeSylvestreBonnard_41	France_CrimeSylvestreBonnard_42	France_CrimeSylvestreBonnard_43	France_CrimeSylvestreBonnard_44	France_CrimeSylvestreBonnard_45	France_CrimeSylvestreBonnard_46	France_CrimeSylvestreBonnard_47	France_CrimeSylvestreBonnard_48	France_CrimeSylvestreBonnard_49	France_CrimeSylvestreBonnard_50	France_CrimeSylvestreBonnard_51	France_CrimeSylvestreBonnard_52	France_CrimeSylvestreBonnard_53	France_CrimeSylvestreBonnard_54	France_CrimeSylvestreBonnard_55	France_CrimeSylvestreBonnard_56	France_CrimeSylvestreBonnard_57	France_CrimeSylvestreBonnard_58	France_CrimeSylvestreBonnard_59	France_CrimeSylvestreBonnard_60	France_CrimeSylvestreBonnard_61	France_CrimeSylvestreBonnard_62	France_CrimeSylvestreBonnard_63	France_CrimeSylvestreBonnard_64	France_CrimeSylvestreBonnard_65	France_CrimeSylvestreBonnard_66	France_CrimeSylvestreBonnard_67	France_CrimeSylvestreBonnard_68	France_CrimeSylvestreBonnard_69	France_CrimeSylvestreBonnard_70	France_CrimeSylvestreBonnard_71	France_CrimeSylvestreBonnard_72	France_CrimeSylvestreBonnard_sum
avec_PRP_avec	3.0	10.0	2.0	0.0	6.0	7.0	5.0	5.0	4.0	4.0	4.0	0.0	5.0	3.0	3.0	4.0	1.0	5.0	6.0	1.0	2.0	5.0	8.0	3.0	2.0	4.0	4.0	4.0	2.0	2.0	4.0	4.0	1.0	3.0	9.0	4.0	4.0	7.0	5.0	10.0	0.0	5.0	7.0	2.0	5.0	1.0	2.0	10.0	3.0	6.0	3.0	3.0	4.0	3.0	7.0	5.0	4.0	5.0	3.0	3.0	3.0	4.0	6.0	2.0	2.0	2.0	4.0	5.0	2.0	3.0	1.0	1.0	1.0	282.0
ma_DET:POS_mon	6.0	9.0	4.0	1.0	5.0	8.0	6.0	4.0	3.0	6.0	2.0	2.0	1.0	4.0	2.0	4.0	4.0	8.0	3.0	4.0	4.0	5.0	8.0	6.0	7.0	3.0	5.0	8.0	4.0	1.0	8.0	0.0	3.0	5.0	1.0	5.0	0.0	3.0	2.0	1.0	2.0	2.0	2.0	3.0	10.0	7.0	7.0	1.0	2.0	4.0	2.0	2.0	4.0	4.0	4.0	3.0	2.0	2.0	8.0	2.0	1.0	5.0	1.0	0.0	2.0	4.0	6.0	1.0	3.0	0.0	5.0	5.0	4.0	275.0
que_PRO:REL_que	5.0	8.0	3.0	3.0	2.0	4.0	7.0	1.0	5.0	4.0	3.0	1.0	6.0	0.0	3.0	3.0	6.0	7.0	5.0	3.0	2.0	5.0	1.0	2.0	3.0	1.0	2.0	6.0	9.0	3.0	3.0	1.0	4.0	8.0	0.0	3.0	5.0	0.0	2.0	5.0	2.0	4.0	4.0	5.0	2.0	4.0	4.0	2.0	4.0	5.0	6.0	1.0	10.0	3.0	6.0	5.0	4.0	8.0	2.0	4.0	2.0	2.0	2.0	1.0	7.0	4.0	5.0	3.0	2.0	3.0	2.0	4.0	1.0	267.0
c'_PRO:DEM_ce	5.0	5.0	0.0	1.0	3.0	2.0	2.0	6.0	4.0	1.0	2.0	6.0	1.0	4.0	3.0	7.0	4.0	5.0	2.0	7.0	8.0	2.0	4.0	2.0	0.0	2.0	2.0	3.0	5.0	7.0	4.0	6.0	5.0	4.0	2.0	3.0	3.0	1.0	2.0	5.0	5.0	5.0	3.0	2.0	8.0	6.0	5.0	3.0	4.0	4.0	4.0	8.0	3.0	4.0	3.0	2.0	1.0	4.0	2.0	4.0	1.0	3.0	1.0	3.0	2.0	0.0	4.0	2.0	3.0	9.0	9.0	4.0	5.0	266.0
;_PUN_;	1.0	3.0	3.0	7.0	8.0	5.0	4.0	3.0	4.0	8.0	4.0	2.0	1.0	2.0	1.0	4.0	1.0	9.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	4.0	8.0	4.0	2.0	1.0	3.0	4.0	7.0	8.0	0.0	6.0	4.0	1.0	5.0	3.0	1.0	5.0	4.0	6.0	2.0	4.0	2.0	5.0	7.0	3.0	1.0	8.0	3.0	5.0	2.0	7.0	2.0	4.0	1.0	5.0	1.0	1.0	5.0	7.0	7.0	7.0	3.0	5.0	4.0	2.0	264.0
pour_PRP_pour	3.0	1.0	3.0	1.0	4.0	6.0	3.0	4.0	3.0	6.0	5.0	8.0	2.0	2.0	2.0	7.0	5.0	3.0	6.0	3.0	2.0	2.0	3.0	4.0	7.0	3.0	3.0	3.0	4.0	2.0	2.0	2.0	6.0	2.0	2.0	4.0	0.0	4.0	1.0	4.0	4.0	2.0	3.0	0.0	2.0	4.0	2.0	11.0	3.0	4.0	6.0	5.0	3.0	4.0	4.0	7.0	3.0	8.0	4.0	4.0	4.0	0.0	2.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	6.0	4.0	3.0	263.0
plus_ADV_plus	4.0	2.0	1.0	3.0	3.0	8.0	2.0	3.0	0.0	3.0	5.0	7.0	1.0	5.0	7.0	4.0	2.0	2.0	5.0	0.0	3.0	6.0	1.0	3.0	1.0	1.0	7.0	2.0	1.0	2.0	1.0	5.0	2.0	1.0	5.0	9.0	4.0	4.0	4.0	0.0	4.0	4.0	3.0	6.0	3.0	5.0	4.0	3.0	2.0	4.0	4.0	1.0	3.0	3.0	2.0	1.0	7.0	7.0	2.0	4.0	7.0	4.0	5.0	2.0	3.0	6.0	3.0	6.0	8.0	0.0	2.0	4.0	8.0	259.0
était_VER:impf_être	5.0	2.0	1.0	5.0	1.0	5.0	4.0	1.0	1.0	4.0	0.0	5.0	3.0	0.0	2.0	2.0	6.0	9.0	3.0	3.0	2.0	1.0	3.0	3.0	0.0	11.0	0.0	6.0	8.0	8.0	2.0	5.0	1.0	6.0	8.0	12.0	10.0	9.0	2.0	1.0	5.0	12.0	5.0	3.0	1.0	3.0	1.0	2.0	0.0	3.0	2.0	3.0	4.0	1.0	3.0	13.0	2.0	2.0	1.0	3.0	0.0	2.0	3.0	1.0	3.0	1.0	4.0	0.0	3.0	5.0	0.0	1.0	5.0	257.0
s'_PRO:PER_se	2.0	0.0	1.0	5.0	4.0	3.0	4.0	2.0	4.0	7.0	5.0	5.0	2.0	0.0	2.0	8.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	5.0	5.0	4.0	3.0	3.0	4.0	5.0	4.0	3.0	3.0	5.0	4.0	3.0	6.0	4.0	4.0	2.0	4.0	2.0	4.0	5.0	6.0	1.0	4.0	7.0	3.0	3.0	1.0	5.0	4.0	6.0	3.0	3.0	4.0	5.0	4.0	3.0	3.0	7.0	3.0	4.0	1.0	3.0	249.0
lui_PRO:PER_lui	2.0	4.0	1.0	1.0	6.0	2.0	0.0	8.0	2.0	3.0	0.0	4.0	1.0	4.0	1.0	4.0	6.0	4.0	3.0	2.0	4.0	3.0	5.0	0.0	4.0	3.0	1.0	8.0	0.0	3.0	1.0	6.0	1.0	3.0	2.0	4.0	3.0	7.0	3.0	4.0	5.0	4.0	5.0	0.0	3.0	2.0	2.0	10.0	9.0	4.0	6.0	3.0	0.0	4.0	5.0	2.0	4.0	2.0	4.0	3.0	1.0	4.0	4.0	2.0	3.0	3.0	2.0	2.0	7.0	2.0	6.0	2.0	4.0	242.0
:_PUN_:	2.0	9.0	5.0	2.0	5.0	1.0	2.0	4.0	1.0	4.0	3.0	4.0	1.0	3.0	5.0	4.0	6.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	3.0	3.0	5.0	1.0	2.0	1.0	1.0	3.0	5.0	5.0	6.0	6.0	6.0	0.0	0.0	3.0	0.0	4.0	2.0	10.0	4.0	5.0	4.0	2.0	5.0	2.0	7.0	7.0	5.0	2.0	2.0	3.0	6.0	4.0	3.0	6.0	4.0	4.0	4.0	3.0	5.0	7.0	7.0	241.0
sa_DET:POS_son	1.0	2.0	0.0	2.0	3.0	4.0	2.0	4.0	2.0	2.0	4.0	1.0	4.0	1.0	6.0	1.0	2.0	0.0	2.0	1.0	1.0	6.0	3.0	2.0	1.0	7.0	6.0	1.0	4.0	5.0	0.0	3.0	2.0	2.0	6.0	2.0	4.0	5.0	11.0	4.0	4.0	9.0	5.0	2.0	1.0	1.0	4.0	3.0	2.0	4.0	4.0	4.0	5.0	3.0	4.0	2.0	5.0	3.0	1.0	1.0	3.0	3.0	0.0	6.0	4.0	1.0	6.0	4.0	5.0	2.0	6.0	3.0	7.0	236.0
son_DET:POS_son	2.0	2.0	2.0	2.0	2.0	0.0	2.0	4.0	1.0	3.0	3.0	3.0	1.0	2.0	1.0	2.0	4.0	6.0	2.0	2.0	2.0	2.0	11.0	1.0	5.0	6.0	1.0	0.0	5.0	4.0	0.0	7.0	4.0	5.0	6.0	3.0	7.0	4.0	4.0	5.0	3.0	5.0	3.0	2.0	1.0	3.0	3.0	0.0	5.0	0.0	4.0	2.0	3.0	6.0	0.0	6.0	5.0	2.0	5.0	1.0	2.0	0.0	5.0	1.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	3.0	7.0	232.0
qu'_KON_que	2.0	0.0	3.0	2.0	2.0	4.0	1.0	3.0	1.0	2.0	4.0	1.0	5.0	3.0	3.0	2.0	0.0	1.0	1.0	2.0	1.0	0.0	7.0	0.0	0.0	8.0	2.0	2.0	5.0	5.0	6.0	6.0	3.0	3.0	3.0	3.0	6.0	4.0	3.0	3.0	3.0	7.0	4.0	3.0	5.0	4.0	2.0	4.0	3.0	2.0	5.0	5.0	4.0	4.0	0.0	4.0	3.0	2.0	4.0	4.0	5.0	4.0	4.0	2.0	2.0	0.0	3.0	2.0	10.0	5.0	9.0	0.0	1.0	231.0
a_VER:pres_avoir	0.0	5.0	7.0	1.0	3.0	1.0	0.0	8.0	3.0	1.0	11.0	4.0	3.0	8.0	5.0	3.0	2.0	2.0	2.0	3.0	7.0	5.0	5.0	2.0	3.0	0.0	0.0	0.0	0.0	7.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0	0.0	2.0	3.0	1.0	2.0	1.0	0.0	4.0	3.0	8.0	2.0	5.0	3.0	4.0	1.0	4.0	4.0	5.0	0.0	2.0	2.0	6.0	7.0	4.0	4.0	2.0	1.0	2.0	6.0	4.0	7.0	3.0	3.0	6.0	6.0	3.0	230.0
qu'_PRO:REL_que	5.0	3.0	7.0	1.0	3.0	5.0	1.0	2.0	1.0	2.0	0.0	2.0	2.0	0.0	1.0	2.0	5.0	1.0	6.0	0.0	4.0	4.0	4.0	0.0	0.0	4.0	6.0	0.0	2.0	5.0	4.0	5.0	2.0	6.0	7.0	4.0	2.0	6.0	2.0	3.0	7.0	4.0	3.0	4.0	5.0	2.0	4.0	2.0	5.0	5.0	5.0	2.0	2.0	2.0	3.0	6.0	3.0	1.0	3.0	1.0	3.0	1.0	2.0	5.0	2.0	1.0	3.0	3.0	5.0	6.0	6.0	2.0	2.0	229.0
cette_PRO:DEM_ce	1.0	0.0	6.0	2.0	5.0	4.0	6.0	5.0	1.0	4.0	5.0	5.0	6.0	3.0	2.0	1.0	0.0	1.0	2.0	0.0	5.0	3.0	1.0	1.0	4.0	6.0	3.0	3.0	4.0	5.0	4.0	2.0	4.0	7.0	3.0	8.0	3.0	4.0	2.0	4.0	3.0	4.0	5.0	0.0	3.0	2.0	4.0	4.0	2.0	6.0	2.0	2.0	1.0	3.0	0.0	2.0	1.0	7.0	4.0	3.0	5.0	2.0	3.0	2.0	2.0	4.0	5.0	3.0	1.0	2.0	2.0	2.0	1.0	227.0
bien_ADV_bien	2.0	3.0	5.0	1.0	2.0	2.0	1.0	6.0	0.0	1.0	3.0	2.0	4.0	0.0	1.0	1.0	0.0	5.0	1.0	3.0	3.0	6.0	2.0	0.0	0.0	2.0	2.0	4.0	5.0	2.0	5.0	2.0	1.0	2.0	5.0	2.0	3.0	4.0	2.0	1.0	2.0	7.0	1.0	3.0	0.0	3.0	4.0	2.0	12.0	8.0	3.0	10.0	4.0	4.0	1.0	3.0	1.0	4.0	6.0	5.0	2.0	5.0	4.0	3.0	4.0	1.0	3.0	2.0	8.0	3.0	4.0	2.0	3.0	223.0
au_PRP:det_au	5.0	1.0	2.0	6.0	5.0	2.0	4.0	7.0	1.0	1.0	4.0	3.0	1.0	3.0	1.0	0.0	2.0	2.0	3.0	2.0	1.0	7.0	5.0	7.0	8.0	2.0	5.0	2.0	3.0	5.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0	4.0	0.0	1.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	1.0	3.0	1.0	2.0	4.0	1.0	8.0	3.0	1.0	4.0	2.0	5.0	5.0	4.0	6.0	4.0	3.0	3.0	1.0	5.0	7.0	3.0	1.0	0.0	2.0	2.0	223.0
?_SENT_?	0.0	2.0	5.0	5.0	5.0	1.0	1.0	1.0	3.0	4.0	6.0	6.0	4.0	4.0	1.0	4.0	4.0	4.0	0.0	7.0	7.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	2.0	4.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	2.0	4.0	4.0	0.0	3.0	5.0	1.0	0.0	6.0	7.0	3.0	1.0	2.0	6.0	0.0	1.0	2.0	3.0	6.0	1.0	2.0	13.0	3.0	2.0	6.0	5.0	4.0	6.0	6.0	8.0	5.0	2.0	0.0	219.0
par_PRP_par	3.0	1.0	2.0	7.0	1.0	5.0	2.0	4.0	4.0	1.0	2.0	4.0	6.0	0.0	5.0	0.0	0.0	4.0	4.0	7.0	4.0	6.0	5.0	7.0	6.0	3.0	2.0	4.0	3.0	1.0	3.0	1.0	2.0	8.0	2.0	1.0	1.0	3.0	2.0	2.0	4.0	1.0	2.0	4.0	8.0	4.0	4.0	4.0	2.0	1.0	3.0	3.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0	2.0	4.0	1.0	2.0	3.0	6.0	3.0	3.0	2.0	217.0
nous_PRO:PER_nous	0.0	3.0	1.0	0.0	2.0	0.0	5.0	2.0	4.0	0.0	4.0	1.0	4.0	15.0	1.0	1.0	3.0	1.0	3.0	1.0	2.0	3.0	5.0	10.0	3.0	0.0	0.0	0.0	0.0	5.0	5.0	2.0	9.0	4.0	2.0	1.0	5.0	6.0	0.0	2.0	3.0	2.0	1.0	0.0	3.0	1.0	1.0	1.0	1.0	5.0	7.0	4.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	11.0	10.0	7.0	7.0	4.0	0.0	12.0	4.0	2.0	3.0	0.0	215.0
se_PRO:PER_se	1.0	2.0	4.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	4.0	3.0	2.0	1.0	4.0	4.0	0.0	3.0	6.0	4.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	4.0	6.0	2.0	0.0	7.0	3.0	5.0	1.0	4.0	6.0	0.0	1.0	3.0	2.0	3.0	4.0	1.0	3.0	4.0	6.0	4.0	2.0	4.0	6.0	5.0	3.0	1.0	5.0	3.0	6.0	2.0	3.0	3.0	3.0	3.0	1.0	0.0	0.0	4.0	3.0	2.0	5.0	3.0	4.0	208.0
en_PRO:PER_en	3.0	3.0	2.0	5.0	5.0	0.0	3.0	1.0	1.0	3.0	0.0	7.0	1.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	4.0	0.0	1.0	1.0	3.0	2.0	5.0	4.0	3.0	3.0	3.0	4.0	2.0	2.0	2.0	0.0	1.0	2.0	1.0	1.0	4.0	2.0	2.0	0.0	2.0	1.0	4.0	0.0	3.0	5.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	5.0	3.0	5.0	3.0	0.0	4.0	2.0	3.0	3.0	5.0	3.0	4.0	2.0	3.0	190.0
ses_DET:POS_son	5.0	1.0	1.0	2.0	7.0	2.0	3.0	3.0	0.0	4.0	3.0	0.0	3.0	0.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	4.0	4.0	2.0	0.0	5.0	1.0	3.0	3.0	2.0	1.0	1.0	2.0	1.0	10.0	1.0	5.0	5.0	2.0	5.0	3.0	5.0	3.0	1.0	5.0	2.0	4.0	3.0	1.0	3.0	5.0	2.0	1.0	0.0	0.0	1.0	2.0	1.0	3.0	1.0	6.0	0.0	3.0	4.0	0.0	3.0	2.0	1.0	3.0	2.0	4.0	2.0	3.0	180.0
ai_VER:pres_avoir	1.0	2.0	1.0	2.0	4.0	0.0	0.0	3.0	7.0	1.0	2.0	1.0	4.0	3.0	4.0	3.0	7.0	3.0	1.0	0.0	2.0	3.0	1.0	1.0	2.0	1.0	0.0	3.0	2.0	0.0	7.0	2.0	4.0	3.0	1.0	1.0	2.0	1.0	5.0	3.0	2.0	4.0	4.0	3.0	1.0	3.0	2.0	3.0	3.0	2.0	1.0	1.0	7.0	5.0	4.0	2.0	4.0	4.0	4.0	7.0	2.0	3.0	0.0	3.0	1.0	4.0	2.0	1.0	0.0	0.0	3.0	2.0	0.0	180.0
on_PRO:PER_on	1.0	4.0	5.0	2.0	2.0	2.0	4.0	4.0	1.0	0.0	1.0	0.0	2.0	3.0	3.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	6.0	1.0	1.0	1.0	7.0	0.0	1.0	2.0	4.0	3.0	1.0	1.0	2.0	0.0	1.0	3.0	2.0	5.0	4.0	2.0	4.0	2.0	3.0	3.0	4.0	6.0	2.0	7.0	9.0	2.0	1.0	1.0	1.0	2.0	0.0	3.0	1.0	3.0	0.0	5.0	3.0	2.0	4.0	1.0	3.0	0.0	2.0	1.0	8.0	2.0	1.0	174.0
-je_PRO:PER_je	2.0	3.0	1.0	2.0	2.0	0.0	1.0	4.0	1.0	4.0	1.0	0.0	1.0	4.0	4.0	7.0	5.0	5.0	1.0	4.0	5.0	0.0	1.0	0.0	0.0	3.0	2.0	1.0	2.0	2.0	1.0	4.0	3.0	2.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	4.0	2.0	1.0	4.0	3.0	4.0	3.0	7.0	5.0	4.0	2.0	1.0	1.0	2.0	2.0	6.0	1.0	0.0	1.0	2.0	3.0	3.0	7.0	0.0	3.0	2.0	1.0	1.0	2.0	3.0	0.0	167.0
y_PRO:PER_y	0.0	1.0	2.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	4.0	3.0	2.0	5.0	3.0	2.0	4.0	3.0	0.0	1.0	3.0	2.0	4.0	0.0	1.0	5.0	0.0	2.0	1.0	2.0	3.0	1.0	3.0	0.0	0.0	1.0	3.0	0.0	1.0	3.0	3.0	1.0	1.0	1.0	2.0	4.0	4.0	0.0	1.0	2.0	4.0	1.0	3.0	1.0	6.0	5.0	0.0	0.0	4.0	7.0	4.0	4.0	3.0	1.0	1.0	2.0	5.0	3.0	2.0	2.0	2.0	0.0	4.0	163.0
le_PRO:PER_le	2.0	2.0	1.0	4.0	4.0	0.0	0.0	4.0	2.0	2.0	3.0	2.0	0.0	1.0	1.0	4.0	5.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	4.0	1.0	0.0	2.0	1.0	1.0	2.0	4.0	4.0	4.0	3.0	2.0	2.0	3.0	1.0	1.0	1.0	0.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	6.0	1.0	5.0	0.0	1.0	4.0	4.0	2.0	1.0	0.0	1.0	3.0	1.0	1.0	2.0	3.0	12.0	3.0	0.0	4.0	2.0	158.0
mes_DET:POS_mon	2.0	5.0	0.0	4.0	0.0	5.0	0.0	1.0	2.0	5.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0	4.0	1.0	1.0	3.0	2.0	1.0	1.0	8.0	5.0	3.0	4.0	4.0	4.0	5.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	2.0	5.0	4.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	4.0	4.0	1.0	2.0	4.0	2.0	1.0	5.0	3.0	0.0	0.0	2.0	1.0	3.0	1.0	1.0	2.0	0.0	0.0	2.0	2.0	151.0
jeanne_NAM_jeanne	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	9.0	10.0	0.0	0.0	1.0	1.0	2.0	4.0	7.0	8.0	3.0	4.0	7.0	5.0	5.0	2.0	4.0	2.0	0.0	3.0	8.0	6.0	3.0	3.0	2.0	4.0	5.0	8.0	2.0	7.0	4.0	5.0	150.0
sans_PRP_sans	1.0	1.0	2.0	1.0	1.0	2.0	0.0	3.0	0.0	1.0	3.0	3.0	1.0	4.0	2.0	4.0	0.0	1.0	2.0	0.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	0.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	4.0	1.0	3.0	3.0	6.0	0.0	1.0	4.0	4.0	3.0	1.0	1.0	1.0	4.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	4.0	0.0	5.0	4.0	0.0	1.0	2.0	3.0	0.0	1.0	2.0	4.0	2.0	0.0	1.0	0.0	143.0
l'_PRO:PER_la|le	2.0	4.0	5.0	1.0	0.0	6.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	4.0	3.0	4.0	1.0	1.0	2.0	0.0	3.0	2.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	3.0	3.0	0.0	1.0	0.0	1.0	3.0	2.0	1.0	8.0	4.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	5.0	2.0	1.0	3.0	2.0	3.0	3.0	2.0	0.0	1.0	5.0	1.0	3.0	0.0	4.0	3.0	3.0	2.0	4.0	3.0	1.0	141.0
comme_KON_comme	0.0	1.0	1.0	0.0	2.0	1.0	3.0	0.0	5.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	2.0	5.0	1.0	1.0	3.0	4.0	0.0	3.0	4.0	2.0	9.0	1.0	3.0	4.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	5.0	2.0	2.0	3.0	3.0	6.0	0.0	2.0	0.0	2.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	0.0	4.0	2.0	4.0	3.0	2.0	2.0	3.0	1.0	4.0	2.0	2.0	140.0
moi_PRO:PER_moi	2.0	1.0	1.0	1.0	4.0	2.0	1.0	3.0	3.0	1.0	2.0	2.0	4.0	2.0	2.0	2.0	5.0	1.0	2.0	4.0	2.0	4.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	1.0	2.0	0.0	6.0	2.0	3.0	0.0	5.0	2.0	3.0	0.0	1.0	4.0	2.0	5.0	4.0	4.0	2.0	1.0	0.0	1.0	4.0	3.0	1.0	1.0	0.0	3.0	1.0	0.0	2.0	2.0	1.0	136.0
»_PUN:cit_»	2.0	1.0	3.0	2.0	1.0	1.0	0.0	2.0	6.0	4.0	2.0	3.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	2.0	4.0	2.0	3.0	8.0	7.0	6.0	6.0	18.0	2.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	6.0	0.0	3.0	2.0	0.0	2.0	0.0	2.0	0.0	3.0	1.0	134.0
ces_PRO:DEM_ce	0.0	3.0	4.0	3.0	0.0	2.0	4.0	3.0	1.0	3.0	5.0	6.0	0.0	3.0	5.0	2.0	0.0	5.0	3.0	1.0	3.0	2.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	3.0	1.0	3.0	1.0	1.0	2.0	2.0	2.0	0.0	3.0	2.0	3.0	2.0	0.0	1.0	0.0	0.0	2.0	3.0	3.0	6.0	1.0	2.0	2.0	0.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	4.0	2.0	3.0	2.0	0.0	133.0
votre_DET:POS_votre	4.0	1.0	1.0	0.0	2.0	1.0	7.0	0.0	1.0	5.0	4.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	9.0	3.0	1.0	0.0	0.0	3.0	2.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	1.0	0.0	0.0	3.0	0.0	2.0	2.0	4.0	0.0	4.0	1.0	0.0	7.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	3.0	3.0	2.0	3.0	8.0	0.0	2.0	0.0	1.0	0.0	2.0	122.0
monsieur_NOM_monsieur	3.0	6.0	4.0	0.0	5.0	0.0	1.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	5.0	5.0	6.0	0.0	0.0	2.0	5.0	5.0	1.0	2.0	1.0	4.0	2.0	0.0	2.0	0.0	5.0	4.0	2.0	1.0	0.0	1.0	2.0	3.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	119.0
avait_VER:impf_avoir	1.0	0.0	0.0	1.0	2.0	3.0	3.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	2.0	2.0	3.0	0.0	4.0	2.0	2.0	4.0	5.0	2.0	0.0	1.0	3.0	3.0	3.0	3.0	6.0	2.0	3.0	4.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	5.0	1.0	1.0	1.0	0.0	2.0	1.0	3.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	119.0
