	Ponson_RocambolePrison_0	Ponson_RocambolePrison_1	Ponson_RocambolePrison_2	Ponson_RocambolePrison_3	Ponson_RocambolePrison_4	Ponson_RocambolePrison_5	Ponson_RocambolePrison_6	Ponson_RocambolePrison_7	Ponson_RocambolePrison_8	Ponson_RocambolePrison_9	Ponson_RocambolePrison_10	Ponson_RocambolePrison_11	Ponson_RocambolePrison_12	Ponson_RocambolePrison_13	Ponson_RocambolePrison_14	Ponson_RocambolePrison_15	Ponson_RocambolePrison_16	Ponson_RocambolePrison_17	Ponson_RocambolePrison_18	Ponson_RocambolePrison_19	Ponson_RocambolePrison_20	Ponson_RocambolePrison_21	Ponson_RocambolePrison_22	Ponson_RocambolePrison_23	Ponson_RocambolePrison_24	Ponson_RocambolePrison_25	Ponson_RocambolePrison_26	Ponson_RocambolePrison_27	Ponson_RocambolePrison_28	Ponson_RocambolePrison_29	Ponson_RocambolePrison_30	Ponson_RocambolePrison_sum
mon_DET:POS_mon	26.0	8.0	9.0	7.0	8.0	8.0	2.0	2.0	5.0	7.0	6.0	1.0	2.0	2.0	4.0	13.0	4.0	11.0	4.0	9.0	14.0	5.0	4.0	4.0	10.0	5.0	16.0	6.0	6.0	6.0	5.0	219.0
Vous_PRO:PER_vous	7.0	6.0	3.0	6.0	4.0	7.0	6.0	5.0	5.0	9.0	18.0	0.0	5.0	13.0	2.0	4.0	9.0	11.0	2.0	7.0	12.0	12.0	8.0	7.0	1.0	6.0	6.0	6.0	8.0	9.0	12.0	216.0
encore_ADV_encore	7.0	5.0	9.0	9.0	6.0	11.0	6.0	8.0	3.0	4.0	5.0	5.0	5.0	8.0	6.0	5.0	11.0	7.0	10.0	4.0	7.0	3.0	11.0	11.0	6.0	4.0	7.0	16.0	6.0	6.0	5.0	216.0
où_PRO:REL_où	9.0	6.0	9.0	7.0	15.0	6.0	7.0	11.0	4.0	8.0	13.0	8.0	8.0	6.0	7.0	4.0	9.0	4.0	10.0	9.0	4.0	2.0	10.0	3.0	8.0	2.0	2.0	11.0	4.0	3.0	5.0	214.0
gris_ADJ_gris	2.0	3.0	7.0	2.0	1.0	13.0	5.0	4.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	7.0	23.0	17.0	11.0	25.0	12.0	9.0	14.0	11.0	10.0	3.0	5.0	8.0	7.0	6.0	214.0
faire_VER:infi_faire	6.0	5.0	5.0	7.0	2.0	11.0	7.0	4.0	6.0	11.0	6.0	6.0	9.0	8.0	8.0	9.0	6.0	6.0	9.0	9.0	4.0	7.0	4.0	4.0	7.0	7.0	6.0	9.0	9.0	8.0	4.0	209.0
-vous_PRO:PER_vous	5.0	9.0	8.0	6.0	5.0	7.0	8.0	3.0	6.0	8.0	9.0	1.0	3.0	11.0	1.0	4.0	4.0	8.0	11.0	11.0	8.0	8.0	8.0	10.0	7.0	4.0	5.0	4.0	7.0	8.0	5.0	202.0
suis_VER:pres_suivre|être	10.0	14.0	4.0	2.0	6.0	3.0	11.0	4.0	3.0	9.0	9.0	0.0	1.0	4.0	5.0	21.0	3.0	9.0	7.0	2.0	14.0	8.0	8.0	1.0	4.0	5.0	10.0	5.0	7.0	6.0	6.0	201.0
Sir_NAM_sir	0.0	6.0	0.0	2.0	12.0	1.0	6.0	12.0	6.0	8.0	22.0	0.0	0.0	0.0	0.0	0.0	20.0	7.0	9.0	3.0	9.0	11.0	9.0	1.0	0.0	8.0	12.0	6.0	8.0	1.0	13.0	192.0
Marmouset_NOM_marmouset	0.0	0.0	4.0	10.0	7.0	5.0	2.0	0.0	15.0	6.0	10.0	0.0	0.0	0.0	7.0	6.0	1.0	3.0	2.0	11.0	9.0	4.0	5.0	11.0	10.0	8.0	10.0	16.0	14.0	6.0	7.0	189.0
La_DET:ART_le	6.0	7.0	8.0	3.0	6.0	8.0	6.0	7.0	7.0	5.0	8.0	12.0	15.0	8.0	10.0	6.0	10.0	1.0	3.0	1.0	2.0	3.0	3.0	6.0	5.0	6.0	5.0	9.0	1.0	4.0	4.0	185.0
moi_PRO:PER_moi	10.0	7.0	5.0	4.0	4.0	9.0	6.0	7.0	6.0	6.0	4.0	0.0	3.0	13.0	5.0	3.0	6.0	3.0	3.0	4.0	9.0	5.0	7.0	4.0	4.0	2.0	4.0	9.0	11.0	6.0	12.0	181.0
M_VER:futu_m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	29.0	1.0	20.0	35.0	26.0	0.0	0.0	12.0	14.0	11.0	12.0	3.0	11.0	179.0
si_KON_si	10.0	9.0	3.0	7.0	6.0	5.0	2.0	4.0	3.0	7.0	3.0	3.0	4.0	10.0	6.0	8.0	10.0	7.0	3.0	5.0	6.0	2.0	5.0	9.0	6.0	2.0	8.0	6.0	4.0	5.0	10.0	178.0
L'_DET:ART_le	8.0	3.0	8.0	11.0	7.0	5.0	4.0	8.0	5.0	2.0	0.0	15.0	2.0	3.0	7.0	4.0	6.0	12.0	7.0	8.0	10.0	5.0	3.0	7.0	4.0	9.0	1.0	0.0	5.0	6.0	2.0	177.0
tu_PRO:PER_tu	13.0	0.0	10.0	4.0	6.0	11.0	0.0	7.0	5.0	3.0	6.0	0.0	10.0	7.0	6.0	7.0	1.0	6.0	9.0	6.0	2.0	17.0	5.0	5.0	8.0	1.0	2.0	3.0	8.0	6.0	0.0	174.0
Chapparot_NAM_chapparot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	4.0	17.0	29.0	20.0	65.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0
J'_PRO:PER_je	12.0	7.0	7.0	9.0	3.0	2.0	5.0	3.0	2.0	6.0	7.0	3.0	2.0	1.0	4.0	4.0	1.0	4.0	1.0	6.0	4.0	8.0	5.0	4.0	5.0	5.0	9.0	6.0	15.0	7.0	6.0	163.0
autre_ADJ_autre	4.0	4.0	4.0	7.0	4.0	5.0	6.0	7.0	6.0	9.0	4.0	9.0	2.0	3.0	6.0	5.0	6.0	7.0	2.0	6.0	8.0	7.0	4.0	4.0	4.0	5.0	1.0	9.0	10.0	2.0	1.0	161.0
Oui_INT_oui	6.0	4.0	7.0	14.0	3.0	8.0	5.0	8.0	5.0	7.0	5.0	0.0	4.0	1.0	3.0	4.0	2.0	2.0	3.0	5.0	9.0	7.0	3.0	4.0	8.0	4.0	4.0	3.0	8.0	9.0	6.0	161.0
cela_PRO:DEM_cela	9.0	2.0	9.0	5.0	5.0	3.0	3.0	2.0	5.0	8.0	6.0	5.0	4.0	3.0	3.0	8.0	3.0	7.0	7.0	4.0	4.0	11.0	3.0	9.0	8.0	2.0	3.0	4.0	4.0	4.0	6.0	159.0
sans_PRP_sans	6.0	7.0	8.0	1.0	10.0	9.0	7.0	9.0	7.0	2.0	6.0	8.0	7.0	4.0	4.0	4.0	4.0	4.0	5.0	1.0	0.0	4.0	5.0	2.0	6.0	6.0	3.0	2.0	3.0	5.0	5.0	154.0
aux_PRP:det_au	3.0	6.0	4.0	5.0	6.0	6.0	5.0	5.0	6.0	3.0	3.0	2.0	7.0	2.0	6.0	3.0	6.0	6.0	11.0	4.0	3.0	4.0	10.0	3.0	7.0	2.0	6.0	2.0	9.0	3.0	3.0	151.0
ici_ADV_ici	4.0	5.0	1.0	6.0	5.0	6.0	2.0	4.0	3.0	5.0	7.0	3.0	4.0	3.0	5.0	6.0	4.0	8.0	4.0	6.0	7.0	10.0	7.0	4.0	6.0	2.0	7.0	4.0	2.0	6.0	5.0	151.0
Puis_ADV_puis	2.0	7.0	4.0	8.0	1.0	6.0	2.0	9.0	5.0	1.0	3.0	8.0	7.0	4.0	1.0	4.0	4.0	6.0	2.0	8.0	6.0	4.0	2.0	5.0	7.0	5.0	10.0	9.0	1.0	7.0	2.0	150.0
À_PRP_à	4.0	3.0	5.0	10.0	4.0	1.0	3.0	4.0	4.0	4.0	6.0	1.0	2.0	3.0	3.0	2.0	6.0	6.0	3.0	8.0	6.0	2.0	9.0	7.0	6.0	8.0	4.0	8.0	4.0	8.0	5.0	149.0
maison_NOM_maison	15.0	9.0	7.0	11.0	11.0	10.0	6.0	6.0	3.0	7.0	5.0	5.0	0.0	11.0	2.0	3.0	3.0	2.0	1.0	1.0	1.0	0.0	5.0	8.0	7.0	8.0	1.0	0.0	0.0	0.0	0.0	148.0
Londres_NAM_londres	1.0	6.0	6.0	5.0	2.0	9.0	7.0	3.0	2.0	9.0	3.0	0.0	0.0	0.0	0.0	2.0	3.0	5.0	11.0	15.0	11.0	0.0	9.0	7.0	8.0	5.0	9.0	5.0	0.0	2.0	2.0	147.0
puis_ADV_puis	6.0	2.0	7.0	3.0	6.0	8.0	1.0	3.0	7.0	5.0	5.0	8.0	6.0	4.0	7.0	12.0	3.0	2.0	5.0	8.0	1.0	3.0	1.0	5.0	3.0	4.0	1.0	5.0	3.0	4.0	6.0	144.0
détective_NOM_détective	0.0	6.0	0.0	2.0	11.0	4.0	34.0	9.0	8.0	18.0	14.0	0.0	0.0	0.0	1.0	4.0	15.0	3.0	6.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	144.0
rue_NOM_rue	7.0	2.0	5.0	15.0	6.0	15.0	14.0	10.0	13.0	6.0	8.0	3.0	5.0	7.0	3.0	4.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	3.0	6.0	2.0	0.0	2.0	0.0	0.0	0.0	142.0
heures_NOM_heure	4.0	6.0	0.0	3.0	2.0	5.0	3.0	8.0	4.0	4.0	1.0	1.0	3.0	4.0	7.0	3.0	13.0	2.0	9.0	6.0	2.0	3.0	5.0	1.0	9.0	1.0	4.0	6.0	5.0	10.0	7.0	141.0
Shoking_NAM_shoking	0.0	0.0	0.0	1.0	0.0	36.0	63.0	8.0	4.0	14.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0
fait_VER:pper_faire	4.0	1.0	11.0	5.0	7.0	4.0	9.0	6.0	1.0	6.0	7.0	6.0	2.0	2.0	6.0	2.0	7.0	3.0	6.0	3.0	4.0	7.0	1.0	4.0	3.0	5.0	2.0	5.0	8.0	1.0	1.0	139.0
dit_VER:pper_dire	9.0	3.0	5.0	4.0	0.0	2.0	5.0	5.0	6.0	4.0	6.0	3.0	3.0	5.0	2.0	4.0	2.0	7.0	8.0	2.0	9.0	3.0	12.0	3.0	1.0	5.0	4.0	6.0	4.0	2.0	3.0	137.0
soir_NOM_soir	2.0	8.0	4.0	4.0	1.0	0.0	1.0	8.0	5.0	7.0	6.0	3.0	3.0	3.0	7.0	2.0	3.0	3.0	5.0	9.0	1.0	4.0	3.0	11.0	7.0	2.0	3.0	1.0	7.0	11.0	2.0	136.0
ou_KON_ou	5.0	7.0	3.0	2.0	4.0	0.0	4.0	5.0	7.0	7.0	2.0	3.0	5.0	5.0	4.0	1.0	4.0	5.0	6.0	7.0	9.0	7.0	2.0	1.0	6.0	5.0	5.0	3.0	3.0	3.0	2.0	132.0
Paris_NAM_paris	6.0	15.0	6.0	4.0	5.0	9.0	5.0	8.0	4.0	15.0	2.0	1.0	1.0	1.0	2.0	4.0	0.0	8.0	10.0	3.0	3.0	2.0	6.0	2.0	0.0	1.0	1.0	3.0	2.0	2.0	1.0	132.0
avez_VER:pres_avoir	2.0	2.0	2.0	5.0	5.0	8.0	2.0	2.0	5.0	2.0	16.0	0.0	1.0	3.0	3.0	2.0	3.0	6.0	2.0	4.0	12.0	2.0	6.0	2.0	1.0	6.0	6.0	3.0	11.0	4.0	2.0	130.0
été_VER:pper_être	2.0	3.0	7.0	4.0	4.0	3.0	8.0	2.0	4.0	8.0	1.0	7.0	2.0	5.0	3.0	7.0	2.0	4.0	6.0	3.0	1.0	5.0	4.0	9.0	4.0	6.0	3.0	3.0	4.0	3.0	3.0	130.0
répondit_VER:simp_répondre	1.0	2.0	2.0	4.0	4.0	3.0	10.0	5.0	1.0	2.0	4.0	1.0	0.0	3.0	5.0	7.0	9.0	4.0	4.0	2.0	7.0	6.0	7.0	2.0	6.0	7.0	2.0	5.0	5.0	7.0	1.0	128.0
votre_DET:POS_votre	0.0	7.0	0.0	5.0	4.0	5.0	2.0	3.0	3.0	5.0	11.0	3.0	2.0	2.0	2.0	3.0	7.0	8.0	0.0	3.0	4.0	4.0	4.0	6.0	3.0	6.0	7.0	3.0	3.0	2.0	9.0	126.0
ces_PRO:DEM_ce	1.0	3.0	5.0	3.0	6.0	7.0	4.0	4.0	0.0	1.0	4.0	5.0	6.0	1.0	4.0	4.0	8.0	4.0	2.0	3.0	3.0	6.0	4.0	5.0	8.0	10.0	5.0	1.0	5.0	1.0	3.0	126.0
peu_ADV_peu	7.0	4.0	7.0	2.0	2.0	9.0	6.0	5.0	6.0	8.0	2.0	7.0	5.0	6.0	5.0	2.0	7.0	3.0	2.0	4.0	1.0	5.0	1.0	2.0	5.0	3.0	3.0	0.0	5.0	1.0	1.0	126.0
chez_PRP_chez	2.0	4.0	2.0	2.0	5.0	8.0	8.0	3.0	9.0	7.0	1.0	3.0	5.0	9.0	11.0	7.0	2.0	1.0	8.0	1.0	0.0	1.0	2.0	4.0	5.0	2.0	5.0	2.0	6.0	0.0	0.0	125.0
femme_NOM_femme	2.0	8.0	2.0	2.0	0.0	4.0	3.0	3.0	6.0	1.0	1.0	4.0	14.0	5.0	5.0	8.0	6.0	2.0	2.0	4.0	1.0	1.0	0.0	1.0	5.0	2.0	16.0	3.0	3.0	3.0	5.0	122.0
enfant_NOM_enfant	0.0	1.0	0.0	3.0	0.0	9.0	6.0	29.0	2.0	6.0	12.0	11.0	3.0	3.0	16.0	13.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	122.0
toujours_ADV_toujours	6.0	4.0	5.0	1.0	4.0	3.0	6.0	6.0	3.0	1.0	3.0	2.0	5.0	6.0	3.0	4.0	7.0	8.0	5.0	3.0	1.0	2.0	1.0	5.0	3.0	1.0	4.0	8.0	6.0	2.0	3.0	121.0
heure_NOM_heure	2.0	5.0	4.0	5.0	3.0	2.0	10.0	2.0	3.0	3.0	5.0	3.0	4.0	4.0	3.0	1.0	3.0	2.0	2.0	2.0	3.0	1.0	6.0	3.0	5.0	6.0	1.0	8.0	5.0	9.0	4.0	119.0
moment_NOM_moment	4.0	4.0	1.0	3.0	5.0	5.0	2.0	3.0	3.0	6.0	3.0	8.0	8.0	7.0	3.0	7.0	3.0	2.0	4.0	3.0	0.0	3.0	4.0	5.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	119.0
temps_NOM_temps	4.0	6.0	3.0	5.0	4.0	4.0	4.0	6.0	4.0	6.0	4.0	4.0	1.0	4.0	4.0	3.0	5.0	5.0	3.0	4.0	2.0	4.0	3.0	3.0	2.0	2.0	2.0	6.0	2.0	4.0	5.0	118.0
jeune_ADJ_jeune	4.0	10.0	11.0	6.0	7.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	3.0	12.0	7.0	5.0	2.0	4.0	1.0	1.0	2.0	0.0	4.0	4.0	6.0	4.0	0.0	0.0	4.0	9.0	1.0	118.0
quand_KON_quand	9.0	1.0	1.0	1.0	2.0	3.0	7.0	1.0	2.0	2.0	1.0	4.0	4.0	9.0	3.0	6.0	2.0	10.0	9.0	1.0	3.0	8.0	1.0	2.0	5.0	2.0	1.0	3.0	2.0	5.0	6.0	116.0
nom_NOM_nom	1.0	3.0	4.0	0.0	2.0	6.0	1.0	3.0	7.0	3.0	4.0	1.0	1.0	3.0	0.0	4.0	3.0	1.0	7.0	9.0	11.0	5.0	8.0	3.0	3.0	7.0	2.0	2.0	0.0	1.0	10.0	115.0
être_VER:infi_être	4.0	2.0	3.0	4.0	3.0	4.0	1.0	0.0	6.0	1.0	2.0	3.0	3.0	6.0	3.0	3.0	4.0	7.0	7.0	3.0	4.0	8.0	3.0	3.0	3.0	3.0	6.0	4.0	8.0	3.0	0.0	114.0
voir_VER:infi_voir	5.0	1.0	2.0	7.0	2.0	6.0	4.0	2.0	1.0	4.0	1.0	3.0	4.0	4.0	3.0	3.0	7.0	2.0	6.0	5.0	6.0	5.0	4.0	5.0	3.0	4.0	3.0	2.0	4.0	5.0	0.0	113.0
alors_ADV_alors	6.0	2.0	5.0	2.0	4.0	3.0	3.0	0.0	1.0	4.0	2.0	3.0	5.0	4.0	2.0	3.0	4.0	5.0	2.0	4.0	4.0	1.0	4.0	2.0	4.0	6.0	3.0	9.0	6.0	7.0	3.0	113.0
fois_NOM_fois	8.0	6.0	3.0	0.0	2.0	3.0	3.0	3.0	6.0	3.0	1.0	4.0	10.0	3.0	4.0	8.0	5.0	5.0	6.0	2.0	4.0	1.0	1.0	5.0	2.0	0.0	2.0	3.0	5.0	0.0	4.0	112.0
eut_VER:simp_avoir	3.0	5.0	2.0	7.0	2.0	1.0	5.0	2.0	1.0	2.0	5.0	5.0	3.0	6.0	5.0	7.0	7.0	5.0	2.0	1.0	3.0	1.0	8.0	3.0	2.0	2.0	1.0	3.0	1.0	4.0	8.0	112.0
monsieur_NOM_monsieur	1.0	2.0	5.0	8.0	2.0	1.0	0.0	1.0	7.0	8.0	10.0	1.0	1.0	3.0	0.0	4.0	3.0	0.0	0.0	6.0	5.0	5.0	5.0	7.0	6.0	0.0	20.0	0.0	0.0	0.0	1.0	112.0
mit_VER:simp_mettre	2.0	8.0	1.0	1.0	4.0	2.0	8.0	2.0	4.0	1.0	4.0	10.0	7.0	2.0	6.0	3.0	2.0	2.0	1.0	0.0	3.0	0.0	2.0	3.0	6.0	7.0	4.0	8.0	3.0	1.0	4.0	111.0
la_PRO:PER_la	13.0	8.0	4.0	2.0	5.0	5.0	1.0	3.0	2.0	7.0	9.0	8.0	6.0	5.0	4.0	3.0	5.0	4.0	2.0	1.0	1.0	0.0	1.0	0.0	3.0	1.0	4.0	0.0	2.0	2.0	0.0	111.0
étaient_VER:impf_être	0.0	7.0	8.0	1.0	5.0	5.0	3.0	6.0	1.0	0.0	4.0	4.0	7.0	0.0	1.0	6.0	8.0	4.0	3.0	1.0	7.0	4.0	3.0	1.0	1.0	4.0	3.0	4.0	3.0	3.0	3.0	110.0
main_NOM_main	3.0	5.0	5.0	0.0	4.0	3.0	3.0	13.0	7.0	0.0	1.0	3.0	8.0	5.0	5.0	3.0	8.0	5.0	2.0	2.0	0.0	2.0	1.0	2.0	4.0	5.0	1.0	5.0	2.0	1.0	0.0	108.0
gentleman_NOM_gentleman	0.0	4.0	1.0	0.0	2.0	0.0	10.0	1.0	4.0	2.0	2.0	5.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	15.0	9.0	13.0	8.0	0.0	4.0	7.0	5.0	2.0	4.0	2.0	4.0	108.0
les_PRO:PER_la|le	6.0	5.0	2.0	7.0	7.0	9.0	2.0	4.0	3.0	1.0	5.0	2.0	3.0	0.0	2.0	3.0	2.0	7.0	2.0	1.0	5.0	6.0	4.0	4.0	4.0	3.0	1.0	3.0	4.0	0.0	1.0	108.0
Non_ADV_non	6.0	0.0	7.0	6.0	5.0	1.0	3.0	3.0	4.0	3.0	3.0	0.0	1.0	4.0	1.0	3.0	2.0	1.0	4.0	1.0	7.0	5.0	2.0	6.0	1.0	2.0	8.0	3.0	10.0	3.0	3.0	108.0
Elle_PRO:PER_elle	10.0	12.0	5.0	1.0	9.0	0.0	0.0	2.0	5.0	9.0	1.0	7.0	3.0	8.0	1.0	5.0	5.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	4.0	4.0	2.0	2.0	0.0	3.0	2.0	107.0
dire_VER:infi_dire	3.0	4.0	2.0	4.0	2.0	1.0	1.0	2.0	3.0	7.0	10.0	2.0	3.0	4.0	5.0	4.0	2.0	1.0	5.0	1.0	6.0	1.0	3.0	4.0	0.0	3.0	4.0	4.0	5.0	4.0	7.0	107.0
Vanda_NAM_vanda	0.0	5.0	7.0	6.0	3.0	1.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	1.0	12.0	1.0	0.0	9.0	1.0	5.0	0.0	3.0	3.0	13.0	1.0	16.0	107.0
sont_VER:pres_être	4.0	2.0	3.0	4.0	9.0	13.0	2.0	3.0	2.0	2.0	3.0	3.0	1.0	5.0	1.0	1.0	2.0	3.0	2.0	0.0	6.0	4.0	4.0	5.0	7.0	4.0	2.0	1.0	4.0	3.0	2.0	107.0
nuit_NOM_nuit	4.0	13.0	8.0	9.0	4.0	2.0	0.0	3.0	0.0	0.0	2.0	2.0	4.0	4.0	6.0	3.0	2.0	0.0	1.0	2.0	4.0	0.0	4.0	2.0	6.0	3.0	2.0	6.0	2.0	7.0	1.0	106.0
dont_PRO:REL_dont	5.0	7.0	4.0	5.0	3.0	1.0	2.0	4.0	3.0	2.0	4.0	6.0	1.0	2.0	7.0	3.0	3.0	5.0	5.0	1.0	5.0	2.0	6.0	3.0	4.0	2.0	2.0	2.0	4.0	2.0	1.0	106.0
tous_PRO:IND_tout	6.0	5.0	7.0	8.0	1.0	1.0	2.0	2.0	3.0	5.0	1.0	5.0	2.0	3.0	2.0	2.0	1.0	4.0	1.0	4.0	1.0	3.0	3.0	6.0	1.0	8.0	3.0	4.0	3.0	5.0	3.0	105.0
Nous_PRO:PER_nous	0.0	2.0	3.0	4.0	1.0	6.0	1.0	1.0	4.0	2.0	6.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	8.0	2.0	1.0	9.0	5.0	3.0	7.0	7.0	9.0	3.0	5.0	6.0	104.0
Eh_INT_eh	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	0.0	1.0	2.0	2.0	3.0	1.0	2.0	5.0	2.0	9.0	10.0	7.0	6.0	4.0	4.0	3.0	6.0	7.0	9.0	5.0	104.0
Newgate_NAM_newgate	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	8.0	4.0	4.0	11.0	6.0	6.0	5.0	5.0	3.0	18.0	9.0	5.0	104.0
Limousin_NAM_limousin	24.0	28.0	19.0	12.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0
Les_DET:ART_le	2.0	4.0	4.0	2.0	5.0	1.0	5.0	6.0	3.0	2.0	3.0	3.0	7.0	2.0	1.0	3.0	4.0	6.0	3.0	0.0	2.0	1.0	3.0	4.0	5.0	5.0	5.0	3.0	1.0	6.0	3.0	104.0
matin_NOM_matin	4.0	5.0	0.0	4.0	2.0	1.0	1.0	3.0	4.0	5.0	7.0	1.0	2.0	3.0	7.0	3.0	1.0	4.0	5.0	8.0	4.0	4.0	4.0	0.0	1.0	4.0	1.0	3.0	7.0	4.0	1.0	103.0
-ce_PRO:DEM_ce	3.0	2.0	6.0	5.0	3.0	1.0	2.0	2.0	2.0	4.0	7.0	0.0	5.0	4.0	1.0	2.0	2.0	1.0	3.0	2.0	5.0	4.0	2.0	4.0	5.0	1.0	5.0	7.0	3.0	5.0	4.0	102.0
On_PRO:PER_on	2.0	1.0	3.0	8.0	4.0	4.0	6.0	7.0	1.0	1.0	1.0	1.0	3.0	4.0	4.0	8.0	0.0	6.0	6.0	3.0	4.0	5.0	3.0	3.0	2.0	0.0	6.0	2.0	3.0	1.0	0.0	102.0
prit_VER:simp_prendre	2.0	3.0	2.0	3.0	1.0	6.0	2.0	4.0	2.0	8.0	3.0	2.0	6.0	7.0	8.0	2.0	3.0	7.0	0.0	3.0	1.0	1.0	0.0	3.0	5.0	4.0	4.0	1.0	2.0	3.0	3.0	101.0
Un_DET:ART_un	1.0	1.0	4.0	5.0	5.0	1.0	7.0	7.0	6.0	8.0	1.0	2.0	0.0	2.0	8.0	1.0	2.0	3.0	2.0	1.0	3.0	4.0	3.0	2.0	4.0	5.0	0.0	4.0	2.0	4.0	3.0	101.0
sous_PRP_sous	2.0	5.0	6.0	2.0	3.0	1.0	5.0	7.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	0.0	5.0	2.0	2.0	1.0	3.0	4.0	2.0	0.0	2.0	3.0	7.0	5.0	5.0	100.0
Edward_NAM_edward	0.0	0.0	0.0	0.0	0.0	4.0	10.0	5.0	16.0	15.0	17.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8.0	14.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	97.0
coup_NOM_coup	7.0	0.0	1.0	2.0	1.0	0.0	2.0	3.0	7.0	2.0	1.0	6.0	6.0	6.0	4.0	4.0	6.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	4.0	3.0	3.0	9.0	1.0	4.0	3.0	97.0
non_ADV_non	4.0	2.0	4.0	3.0	2.0	3.0	5.0	1.0	5.0	5.0	1.0	1.0	1.0	7.0	2.0	4.0	3.0	5.0	1.0	3.0	3.0	4.0	1.0	3.0	1.0	4.0	3.0	1.0	6.0	2.0	7.0	97.0
«_PUN:cit_«	1.0	7.0	1.0	0.0	1.0	6.0	0.0	4.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	8.0	22.0	18.0	1.0	2.0	4.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	97.0
jour_NOM_jour	6.0	7.0	4.0	8.0	1.0	4.0	1.0	7.0	1.0	3.0	4.0	5.0	0.0	3.0	1.0	3.0	2.0	6.0	4.0	2.0	0.0	2.0	5.0	3.0	3.0	3.0	1.0	2.0	4.0	0.0	2.0	97.0
boutique_NOM_boutique	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	16.0	8.0	7.0	12.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	10.0	2.0	11.0	6.0	3.0	0.0	97.0
même_ADV_même	5.0	5.0	4.0	2.0	2.0	2.0	10.0	3.0	8.0	3.0	4.0	2.0	0.0	4.0	3.0	4.0	2.0	3.0	2.0	3.0	5.0	1.0	1.0	1.0	1.0	6.0	3.0	4.0	3.0	0.0	1.0	97.0
ma_DET:POS_mon	4.0	2.0	4.0	3.0	3.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	3.0	7.0	1.0	6.0	1.0	7.0	0.0	3.0	4.0	3.0	1.0	1.0	4.0	3.0	18.0	1.0	1.0	4.0	4.0	96.0
faut_VER:pres_falloir	1.0	2.0	1.0	3.0	3.0	3.0	6.0	2.0	1.0	1.0	1.0	4.0	5.0	2.0	4.0	0.0	2.0	5.0	4.0	8.0	4.0	2.0	1.0	2.0	7.0	3.0	2.0	3.0	2.0	9.0	3.0	96.0
cet_PRO:DEM_ce	3.0	4.0	5.0	5.0	2.0	4.0	7.0	4.0	4.0	8.0	1.0	1.0	3.0	3.0	4.0	3.0	2.0	4.0	5.0	1.0	2.0	3.0	3.0	1.0	2.0	5.0	2.0	1.0	2.0	1.0	0.0	95.0
rien_ADV_rien	2.0	5.0	3.0	4.0	3.0	3.0	1.0	3.0	1.0	5.0	7.0	3.0	1.0	1.0	5.0	9.0	1.0	4.0	5.0	3.0	4.0	1.0	1.0	1.0	3.0	4.0	3.0	1.0	3.0	2.0	3.0	95.0
